new_comments,sentiment
ben shapiro make dude look manly bad,1
I ve get buck tooth fucking rabbit,1
lgbtq community hypocritical community I ve ever see want accept refuse accept agree lifestyle,1
shiiit man speak fact say wrong world full sugar coat even necessary,1
do not know man mildly appropriate part get laugh also respect dude seem unfazed physical threat make right face,0
lady like,0
dude convenient threaten another man get fuck damn mm man,1
lunatic,1
,1
love ben rude,1
ben rude lil punk,1
hate guy ben get ball size bowling ball go debate know one particular set belief defend belief feel ashamed threatened way,1
einhorn man,1
protect man,0
punk dress like woman would taught lesson front world assault attack neckbody coward attack fragile individual man sorry ben offense intellectual fighter,1
really disrespectful tell truth ben one be not lie truth,1
oh little ben,1
title go agrue feeling,0
guy weird feeling talk fact learn hear understand even alter change,1
ben shapiro plain simple dipshidiot zoey tur right threaten like maybe however transgender put dehumanize bullshit conservative bigot like ben shapiro spew daily basis,1
brave go man gone go transgender really,0
ben call backup expect send real fighter,1
ben good job,0
chicken,1
biological male actually frog go home ambulance,0
threat hella masculine whilst try remain feminine interesting thing I ve hear people transgender angry usually sound like gender bear duress be not kind weird,1
god give reprobate mind thing unseemly man man lover self agree ben always alphabet crowd need go,0
caitlyn jenner female caitlyn jenner man body mutilate emulate female public call fraud think fight stage turn true froopy land cuz would already knock nasty person tooth put hand sit next,1
ben literally get famous rude use think republicans manner family value harrasse tran people deny medical care,1
lol,0
science vs morality,0
watch say go home ambulance masculine thing saycase close,0
america need learn want mean hence country spoil weak minded child love corrupt people,1
room full leftist democrats bigot,0
sound like man talk like man behave like man get dick claim man,0
brute hagar think feminine woman,1
either male female end discussion,1
bear man want womansomethe wrong mindset know voice soul baby tiger grow together lion well mean baby tiger lion,1
elemann kasl olmasna ramen gznde bir gram bile korku emaresi olmayan ben shapiro abimizi kutluyorum helal olsun abi,1
wow ignorance delutional disagree sick ideology threaten put hospital,1
whatever still woman dress much want woman,0
bro clutch v,1
guy threaten look like need lawyer,1
would send woman prison men assault ben lol,1
think threat prove man woman dress everyone sit think ok threaten agree prove people brainwash brain dead suppose beauty free society want rest we agree pronoun force we another faset freedom live little world live mine,0
everybody know ben shapiro right one,0
black guy open minded brain fall,1
transgender person know manhood could send away ambulance say I m still man whip,0
kudo beni respect agree,0
trans person keep put hand ben state case keep hand applaud ben able put deserve award yeahkeep hand,0
sorry ben wrong one anyone show truly world braver sense,1
wonder would happen sheman get ass handed try shapiro ambulance,1
deserve woman year bullshitthere well woman woman whole life deserve far want think believe care expect something special deserve award hate bruce jenner still dislike,0
propaganda kid,1
think would happen ben say call rude you ll go home ambulance geez,1
duck american society hurt pronoun speak something agree go home ambulance tell whole world live cute say,1
you ll leave ambulance ben should ve say that s manly,1
really defend shehim even though blatantly use violent word threaten fuck i d call cop,1
ben little disrespectful,1
personally think individually people care group people somereason,0
doctor doctor stay quite lol,0
man blonde wig physically threaten ben shapiro television,1
let honest complete troll put two next,0
ben shapiro conscious mind like excuse sir know people go home ambulance,0
god bless america haha china,0
man think look like woman laughable man blonde hair face like horse lol yah look like little girl hahahahahahahaha,0
fucking love ben shapiro wish people like,0
threat sound rather manly,1
threat other bcos male strength,1
like guy,0
hahahaha,0
male male female female nothing nothing less,1
nothing nothing less,1
go ben,0
fault day testosterone level little bit high that s,1
ben shapiro x intellligent anyone else room,0
shapiro speak truth fact care feeling,0
zoe threaten violence violent terfs bigot state simple fact sexually dimorphic mammalian specie,1
well lady like,0
ok violent someone speak common sense truth,1
take kid zoo kid say daddy look tiger sudden feel tiger long tiger lion tell son son tiger lion make lion world delusional friend,0
devil really get transgender act like woman lmfaoo,0
ben smart one room,0
ok definition perception brave way different traditional way represent thousand year sure humanity think way life world live last forever thing must come end know one begin,0
epitome wrong country people confuse even basic biological fact human body ie gender breed easily control easily manipulate mass people someone convince biologically something make think can not convince human actually mean breathe water resurrect lose city atlantis think they re mermaid like actual heck say man feel like want feminine man invalid say deny biologically speak person still man ludicrous there s difference live opposite societal lifestyle label man woman versus wake one day decide physically opposite gender actually getting offend anyone dare speak scientifically fact,1
someone say suicide rate amongst transgender people high response good,0
make excuse dude lady threaten ben cameras dude lady would get shit rock,1
odd ben majority view represent agree view say right representing view state fact disputable zoe still man regardless view,1
go ambulance think woman come punchline,1
fuck feeling hell yea,1
caveman skirt shapiro ambush demented socialist mob course guy gay stand trans guy,1
okay chill man think say become transgender automatically reach high level brave brave thing person difficult challenging change quite lot life times chill award world feel well accept whatever like guy say pretty much show admit bias one honest debate friendly debate tv lose gain aaaanythe lose shit something pretty meaningless would know would patiently wait finish like debate work come fight fight people embarrass shame severely disappointed make absolutely positive impact comment threat man,0
dude come outta dat girl,1
keep hand,0
love know absolutely nothing biology pretend need scientist present news people like ben business pretend know anything,0
brave braver million people parish war,0
ben call like honest people can not handle truth read bible get right god end answer man upstairs man downstairs,0
man really good everything even reward make female,0
whole panel low class ben debate tv setup,0
learn jiujitsu ben tell shemale bully ambulance come one revive choke manbutts hate bully especially one penis wear dress,1
fact matter anymore century bend truth fit feeling people around us brother dump scientific fact woman,0
love lol,0
think people use look hero,0
zoe male inside want b outside,0
comment section absolute cesspit,0
even though absolutely hate ben debate clown,1
tellin cuz he s use hehim pronoun zoey threaten ben,1
dude dress instantly lose credibility,1
man sign say bear dick chick think offensive call female female god offend man create man call woman guarantee stand judgment seat christ stand god give gender birth name bear bob god go call brenda happen bible say abomination god man put women clothing abomination god woman put men clothing deuteronomy god change never deceive stop fool repent time run,1
irony person tell chromosome mean nothing male chromosome activate peak lol,0
trans people need understand ultimately do not matter identity change biological sex suck instead accept fact go identity crisis phase attack anyone say otherwise feel like everyone know afraid say thank twitter trans people power should not I m transphobic they re factophobic,1
ben great,0
ben sane one panel must twilight zone,0
ben say oh want go bro,0
insult call someone world crazy wonder people crazy thing people encourage,1
man times big ben would attack ben,1
man,1
remember apple banana boi,1
testosterone still high asf lol,0
ben brave man room,0
america get crazy,1
ben threaten send man ambulance everyone would arm would label type phobic hater unbelievable,1
look nothing like woman anyway problem become problem,1
intolerant people one expect tolerate life let choice year big skeleton able tell whether male female,1
chromosome do not necessarily mean male female yes yes,0
like part fake woman grab ben shapiro back neck say paraphrasing address woman kick ass send home ambulance real woman would ever say friend man ben,1
ben shapiro end men transgender career,0
chick dick dude boob te,1
ben stand grind good,0
like bob say time change still confuse change,0
mainstreame delusion,1
guy would stomped ground male always male matter can not change can not woman regardless thank woman woman man man two way ever body bear penis vagina fer know can not bear man change female happen git slick,0
god flawless,0
man bottom line fact want something else fine get one life live happy live do not try convince we bs nonsense behavior choice feel like woman do not biologically make one impossible,0
sheet heeeee let we stop pretend gooodbess,1
liberal assault somebody believe way believe,1
kind bully ben,1
accept woman look like michael bolton,0
courage stay man,0
he s man female one day pit hell,1
get hand ben shapiro,0
omg look sick people feel sorry ben fight alone respect ben tough small mind,1
accept want ill hurt,1
dude wear dress womanit dude wear dress,1
american fuke fakeass go majority side think differently head,0
sir testosterone show,1
ben hero stand right,0
woman threaten man go home ambulance proof maleness,1
first world problem scavenge hunt food decade start argue anything,1
still male even feel like woman disbelief lead,0
please sue person ben know getting invite show discuss view know state fact,0
wtf man woman threaten proceed assault hand back neck guy let go would press charge listen yo discuss view like discuss view right transgender assault anyone shapiro would say prove point testosterone cell come,1
excuse impolite think someone become actual female bear male make ok disregard preference different refer someone change name former name think new name ugly disagree transgenderism still respect use pronoun new name,1
disrespectful try turn woman man vice versa think guy island,1
think point society take turn bad society decide appropriate behavior,1
dude ben shapiro brave hell correct force call someone bear man woman country america sick devil detail america bring contrary consistently bible god bring global judgmentdestruction,1
make threat would hate crime,1
jawline,1
ben great country respect stand crazy people like feel bear bewe love youyour amazing standing speak truth,0
well say shapiro,0
threaten send someone home ambulance zoey alpha male show,1
man dress obviously issue,1
room full foool know leave right,0
want call call lolz,0
nothing man mr man man,1
mana bully man,1
do not even let ben speak modern age people,0
cut go home ambulance well man defend can not hit woman well sooooo,0
think use force say sir ok lmao equal right apply situation ben shapiro let we say mike tyson think would say lmfao put make pig shit still pig,0
fight truth,1
man dress man factsany wonder fake news way believe news channel anymore,1
zoe adam apple ff,1
watch whole episode,0
part ben say lady like,0
anybody else notice nowadays agree people craziness label racist anybody notice nowadays people can not tell craziness sane anymore crazy sane yet one make bad guy people can not tell difference crazy sane anymore dam,1
ben kind threat would make racist toward whatever kind people whatever people make threat oh nobody call racist wrong picture,1
man ever grab ben look testosterone level rise kaitlin never get look award,0
automatically characterize transgend brave regardless person life experience scared,1
say wrong say rude let we say altercation press charge jail would heshe go man woman,1
thousand commenter retard,1
man,1
lady like behavior fuck pronoun,1
mainstreame delusion ben shapiro answer there s need attend circus watch freak show watch delusional irrational debate like one ben shapiro you re brave man speak truth matter,0
ben get punke manshe,0
society become new insane asylum,1
people stubborn,1
ladylike behaviour,0
thing always say can not change chromosome also get respect thing treat other want treat call other want call respect run way though many tran people treat talk non trans people hella disrespectful get grow ass man wig heel beat start fight biological woman still feel inadequate outside say lol want put baby male chromosome fill body go right ahead hope enjoy ride,0
dude gas station video scream maam,1
think ambulance take people hospital anyway nice way talk lady,0
amber hear detect,1
world delusional ben completely right,0
ben exasperate face funny,0
shapiro play rude zoe rude back everyone surprise pikachu face also fact care feeling yet always feeling follow hunch feeling feel right thing,1
ben knock ass,1
can not people accept create,0
support tran call brave thing dumb,0
tyson fury woman clothing lady gentleman,1
poltical discussion purposely invite side party course go conflict idea want offend come shapiro present opinion fact give threat openly sad see far fall morally point leave limit free speech anyone right support brutality do conservative side continue speak openly either get cancel apparently send home ambulance,1
plus threaten ben he s small guy courageous come somebody you re big,0
expect engage fantasy world choose mister,0
let rape alone try report find transgender really play silly game stand shapiro oppose transgend right,1
get discussion people understand basic science deny futile foolish,1
touch threaten someone,1
hmmm human really funny stupidly pretend see want self believe mean good say truth go home ambulance way thing feel inside,0
lol soon sick heshe threaten heshe would gotten sick ass beat,1
bloke wear dress make female zoe thing adam apple woman adam apple,0
bruce jenner get woman year embarrassment real woman world real woman could even beat fake woman go world,1
strange person,1
child let we hurt other feel zoey whatever want male,1
america america god watch we god watch we distance,0
moron trouble truth bow pc rubbish,1
freak hear something dosnt like revert back man ab threatend,1
people go home ambulance that s news,1
heat moment zoey man real quick,0
like bark chihuahua scare big dog come participate eat last bone scared woke brigade go career life scream part,1
true definition toxic masculinity masculinity poison female hormone male hormone hide come want harm someone tell truth,1
weird normaly go home ambulance really confuse,1
put hand someone wish touch class assault ben assault least twice zoe unwomanly behaviour,1
bruce,1
ben professional rude guy physically threaten mess disgusting,1
must change language suit someone else feeling confused identity nope sorry ben tell fact lie,1
first one point ben person spine,0
love ben shapiro stand ground friend never cave crazy left,0
want hear true want people feel sorry treat guess life suck hard human bottom line make story fact proof reality care want put choose want become deal first convince anybody ideal talk violence threaten someone agree want become call bouble standard right violence one else manipulate acceptance,1
zoey tur katy turs father lol fly first chopper film oj simpson getaway,0
think bruce need money could keep kardashian pretty sure lucrative kaepernick like,0
accept belief man woman please force,0
blond man drease woman never see woman say man hospital,1
zoey wake male like male leg speak confuse feeling truth biologically male dress like woman mean woman know man resort threat mr shapiro process can not argue mr shapiro point delude cross dress nonsense lie,1
agree ben shapiro issue like see people bully want conform everything progressive say suppose believe mr shapiro treat badly people panel hope apologize,1
sick playing pretend,1
male decide classify female bind face difficulty make choice do not right threaten other either verbally physically subscribe point view assume give logic rally female rachel call african american reinstate naacp position back pay threaten violence anyone call black woman identify black dressed style hair give physical appearance black woman,1
cut go home ambulance see can not hide biological nature still dude biologically instinctual,1
one say anything physical threat,1
also need put male prisoner consider female allow go female prisonsi would scare go prison especially would say consider woman soon put female jail become lesbian going happen start plane bank robberyeither way catch good time life,1
zoey woman know woman feel like literally behave lady like course idea lady like shut man shut disgust everyone mean everyone,0
think do not mean that s lol male,0
cut right you ll go home ambulance well would worried must pretty mildly injure ambulance take home hospital,1
lol ben shapiro could not say well,0
moral cowardice panel act like ben deserve threaten state objective reality,0
manly thing jenner little man jenner bully boy,1
like fucking vet something lmao fuck tard can not see make retarded laugh,1
class lady,1
see zoey still man,1
people brave soldier brave,0
sorry allude should not ambulance take protagonist hospital would reside able return home vehicle emergency kind,1
rude I m dumbfound,1
video see guy name zoey bring muscularity threaten ben that s right,1
cowards trans movement ashame,1
well fall back social condition man threaten beat anyone disagree xd way prove wrong,1
home ambulance,1
bruce jenner masculine person room,0
would threaten like would way ambulance,1
cut go home ambulance really lady,1
realize word constitute violence,1
fact discussion even happen show fuck world well do ben brave one sit amongst bunch uneducated muppet somehow think ok threaten agree follow bs narrative,1
black man wussy,1
dude,1
right benhe always,0
insult fact mean lie trust,1
think ben respectful zoeys pronoun agree statement however zoey threaten physical violence appropriate ben could file report police can not believe zoey get away,1
blonde bloke dress convince anybodyi would ask caitlyn jenner pop russia argue case see get freak nature,1
ambulance drop home getting injure wow delete uber account right,0
oh god ben shapiro can not explain creature ps being whatever call create god mean,0
zoey tur look speak lot like owen wilson implicit meaning intend observation,0
woman would grab mans neck threaten send ambulance want see female act like make,0
rest panel seem care transgender person invoke violence discussion fact do not care feeling,0
man man woman woman guy right put hand bentoolwhat tough guy lol,0
scared shitless ben file police report lmao,1
ida davis quagmire mom dad,0
call transgend man child confuse transparent,1
I m confused leftist talk transgender scream tantrum gender know wake logic idiocy maybe someone explain obvious double standard hypocrisy,1
interesting tran threaten shapiro do not agree that s bs,1
cut go home ambulance say delicate welladjuste wellspoken man ask call lady treat like one get love put hand ben intimidate lose debate let guy tv debate famous conservative people need vet properly make sure danger guy,0
mri,1
I m still confused he s man that s point he s transgender person woman would biological woman man change woman would transgender man think wait well think,1
lie god mean man,1
thing threaten ben sure sound like something male would say lol,0
cut thing,1
man get two ball get nothing,1
man need professional help god sake,0
comment,1
get face fact god make male female,0
people misjudge strength man he s polite intelligent gentleman willing bet ben defend fine would not first strike he s kind guy,0
shame black dude,1
get sick freak culture nature tell rest we think,1
blond thing suppose woman thing threaten shapiro go ambulance thing excuse pms bloody hell blond thing anyway,1
sick see black man ride like smh,1
hahaha respect pronoun laugh howling say,0
man fuck pronoun bruce jenner bear guy he s guy,1
zoe say I ve shoot stab big friggin deal million people you ll go home ambulance ben kick ball zoe stood think zoe would say mike tyson think guess zoe do not ball,1
like nobody say word threat however everyone pile ben logical truthful everyone panel minus shapiro need ban live tv appearance medium help promote insane illogical fictitious bullshit,1
full interview please truth remain truth face adversity,0
go ben,0
hate ben shapiro crossdresse ugly male arrest threatening comment,1
manit sirif woman manperiod,1
anyone else go gamestop madam,0
threaten whoop someone ass hmm behaviour typical man guess,1
bob turr dude use dub voice police chase video pretend helicopter pilot world craziest police video show everyone figure jump trans train bring attention brave people pound chest tell everyone brave brave dressing like act like female,0
lmao guess man show everyone boy boys skirt skirt,0
chromosome legit determine whether male female seem like know take,0
bald guy wear glass idea talk hahaha rude call male male rude dumbass hahahah,1
want call call stupid call enter toilet wife dumb,1
man purple dress threaten another man action man women clothing therefore ben easily debate,1
get ill call,1
notice do not accept lie truth threaten violence truth dna fix feeling perceive thought like can not say I m really zebra accept truth turn fact do not care feeling,0
agree ben matter feel biologically r still man gene lie like math,0
lmfao,0
fact base science feeling let sink,1
bear male man bear female woman hard understand simple fact wrong society think man make one vice versa,1
ugly man ever dress like woman,1
question female change man never see male stuff play male sport see male get female body thing like woman male win women award say still prefer woman date woman funny matter still male lol,0
ben shapiro absolutely correct play game gender brave new frontier cute good way abomination open rebellion almighty god yhvh creator make male female pronoun change birth,0
get seriously offend ask genetic go straight throat heshe go get angry testosterone come thru makeup,1
damnnnnn ben shapiro eye roll aight aight respect cool cool,0
kardashian bruce f bad cry attention let hang ass still use size intimidate one agree pathetic,1
guy back caitlyn video simp,1
tell we he s woman yet act like man put hand ben totally inappropriate something man would act aggression woman get away lolol,0
person brain function chemically right wiring fkup perception reality become distort like commercial mind terrible thing waste,1
funny say send home ambulance,0
use incorrect pronoun indulge delusion cruel never polite pronoun gender confused person x likely end life general public need help acceptance dude would beat crap ben would bruce,1
good job ben shapiro word god bible also say god create male female thank ben stand truth,0
ben shapiro goat,0
identify,1
threaten rude call man sir look forward future,1
attention brave tran attention need attention fact tran brave,0
base,1
transgender brave thing like delusional narcissistic thing,0
funny call debate start speak fact get angry gang point,1
people panel attack shapiro enablers delusional mentality know right press become aggressive argument try prove ideology enough pass law gain political power also transperson next ben react totally male hormone aggression plus look like,0
pretty barbaric resort threat physical violence,1
indeed stream delusion,1
stand ben amazing job,0
moment forget woman,1
difficult thing lmfao,0
train,1
man someone tell go home ambulance see sentiment get reciprocate,1
threat lady like,0
lmaooooo people delusional,1
blond dude wear dress makeup way much testosterone dressing can not hide fact dude lol,0
psychopath take planet coward applaud people point way thing really,0
heshe lady like,0
ben face lol,0
can not believe defend disgusting physical threat shapiro man think he s biological woman,1
funny see mike step lol,0
someone tell gender social construct like okay that s debatable objective pov think mr shapiro meaning say fact do not care feeling you all thought,0
bruce jenner confused man,1
bruce jenner confused man,1
well play make believe,0
threat make man male dress,1
cut go home ambulance wow sentence trans woman definitely still ton testosterone imagine tran woman get angry change dude mode horrify,1
lady like,0
know right ready fight see thick ass man hand call woman never,1
dude dress brain,1
try gender switch thing la laker cheerleader locker room still allow enter,0
ofcourse man threaten physical harm argument masculine argument choose use threat man expect treat transgender woman equal woman threaten another man fellow man make make sense,1
commit would dck cut,1
literally threaten ben,1
go home ambulance do not make sense,0
wants see perceive treat woman lady act like male bully convenient,0
shapiro make look like fool mostly,0
fuck hln put psycho next ben shapiro want hit ben,1
good ben,0
ben person world sit room everyone disagree attack yet make every one look like moron,1
dude threaten ben shapiro know civilized take lesson bully people enabler afraid truth,1
put hand,0
macho come jenner get mad like real dude,1
bunch ss kissers debate,1
fair ben make business decision would beat ben ass,0
ottawa go home ambulance,1
air delusion well rating guess,1
bruce always male matter god create bruce male,0
insult call male male hilarious,1
freak show,1
see exact moment testosteron kick,0
benny resign eyeroll glorious,0
coward,1
shame country come point right wrong wrong right,1
surprised get mickey mouse ass kick honestly guy bring face itsmh,1
funny typical male response conflict disagree act violence,1
embarrassed black guy know well must save job,1
sooooo world want us trust science everything ben refer science regard man can not woman woman can not menit fk science,0
tired hearing fighting pronoun ignore opinion agree live life,1
ben spot,0
ben shapiro mickey rourke,0
gender sex thing sex biological stuff gender personal identification one gender base internal awareness refer socially construct role behaviour expression someone wants call way call people way defensive subject deep transphobic say,1
hey however happen olympics joke ex male swimmer make team can not support,0
zoey tur full crap delusional punk pick lbs guy,1
use rage counter reason funny dude outright baritone ask regard wonder long human keep lie,0
brave try good live godstruth come hell high water hesheitthemthey whoever today closet grandchild enough struggle withgangsdrugsbullinglack luster public educationbad economycrimelye president quarter call someone caresthese liberal americapray,0
thing turn back man real quick post ben shapiro,0
speak truth,0
ha haaa craziness violence high level ben deserve courage award,0
zoe could accept suppose accept ridiculous,1
afraid retribution say feel true say ever apease person,1
transpervert,1
think woman would stick woman,1
disgusting docter draw trans threaten someone like democratic do not side sick side,1
shapiro ought attend tea party mad hatterthey mad,1
ambulance go hospital home,0
nice balanced debate everyone right guy,0
every male braveif know mean,0
trans difficult thing dishonor existance dare guy act like innocent people think truth value,1
respect someone whether shehetheywe can not identify affirmly shehetheywe really deny nature delusional feeling right want world extinc ego fellas say want family adopt orphan rent womb woman donor sperm never ever legacy know die one remember long dishuman follower respect truth selfish,1
agree mrs shapero,0
male male ever modification,1
insultsare still freedom speech,0
caitlin bruce whatever fuck name real douchebag,1
guy,1
transgenderism opinion choice nothing biology gender construct people child think crazy one raise child confusing way possible black guy horrific ugly man long hair echos none think,1
sssss sssss e e,0
problem e sas,1
rude right r deserve though lol ye yeah go problem message need drama,1
tell truth seem like brave thing day,0
get ball come,1
gender fact,1
hard thing come transgender good time creat weak man,1
hln show shapiro shit scare zoey,1
ben shapiro legend way go ben agree,0
nothing happen,1
truth offensive,1
confused gender,1
disrespect pronoun last check pronoun word word neither sentient feeling can not disrespect except maybe spell wrong,1
see male come jenner threaten ben,1
matthew enter narrow gate wide gate broad way lead destruction many go narrow gate difficult way lead life find john jesus say way truth life one come father except galatians even angel heaven preach gospel contrary one preach let accursed say say anyone preach gospel contrary one receive let accurse romans ashamed gospel power god salvation everyone believe jew first also greek righteousness god reveal faith faith write righteous shall live faith wrath god reveal heaven ungodliness unrighteousness man unrighteousness suppress truth know god plain god show invisible attribute namely eternal power divine nature clearly perceive ever since creation world thing make without excuse although know god honor god give thank become futile think foolish heart darken claim wise become fool exchange glory immortal god image resemble mortal man bird animal creep thing therefore god give lust heart impurity dishonor body among exchange truth god lie worship serve creature rather creator bless forever amen reason god give dishonorable passion woman exchange natural relation contrary nature man likewise give natural relation woman consume passion one another even commit shameless act man receive due penalty error since see fit acknowledge god god give debased mind ought do fill manner unrighteousness evil covetousness malice full envy murder strife deceit maliciousness gossip slanderer hater god insolent haughty boastful inventor evil disobedient parent foolish faithless heartless ruthless though know god righteous decree practice thing deserve die give approval practice act peter fill holy spirit say ruler people elder israel day judge good deed do helpless man mean make well let known people israel name jesus christ nazareth crucify god raise dead man stand whole stone reject builder become chief cornerstone salvation name heaven give among man must save act truly time ignorance god overlook command man everywhere repent appoint day judge world righteousness man ordain give assurance raise dead,0
threaten ben show nothing intelligent say ben right dare gang like neanderthal one right threaten anyone stupid sure many man would take view point come around go around js,1
man baby,1
threat physical harm neck squeeze enough press charge man,1
that s weak black man I ve ever see business hell except ben delusional funnel mess among young minority nowugh,1
think right,0
bravo guy ben idol,0
zoe look manly anyone lol,0
freak dress threatin shapiro joke stand ground ben,1
brave transgender brave thing publicly say I m straight make brave thing whole universe,0
man man woman woman matter dress,0
brave stand people that s brave,0
never get old look leftys do not say word someone get verbally assaulted violence yet get arm nonproper noun use representation someone tribe liberalism mental disorder find cure please,1
normal person room ben rest sell ffs,0
well lady like,0
do not much like lady diddy,0
become woman mean give back trophy become male athletic,0
classic set ben number happen time,0
think I m king france please refer way,0
would go home ambulance would ambulance take hospital response would think day later,0
ben shapiro beastand jenner lose deluded soul pity people lose can not accept,1
mr shapiro right call zoe xx equal gender dysphoria sidetrack make real zoey would male xx rest life,1
remember happen feel bad guy dress bad sure tough mf think go call wear dress xx mean mister x mean ms,1
call man man insult lmao,0
good ya ben guy girl well you re go path smith,0
want woman mean actually one example someone believe lion mean lion fantasy mind crazy person might believe president country mean everyone must call president last day system jesus say devil drag million wrongdoe break god law basically like pandemic world today repent everyone go back god stop think explore curious stop corrupt mind young people kid world teach normal fact completely abnormal unnatural gene people say something acquire twisted society point become pandemic,1
probably except ben hv know,0
go shapiro,1
you re tell that s female lol yeah right,0
look piece shit sit argue ben unbelievable what s wrong america,1
man shapiro hahaha surprise dumb other,1
think transgender people right call pronoun want ben tonality could perceive rude wrong everything say fact direct debate say upset,1
baza,1
katelyn faithlyn man fucking way man woman woman man,1
lady like,0
ball penis man one vagina woman that s,1
everyone pssys think get cancel state fact black guy straight away lmao dickhead,1
would insult murderer call murderer stupid people,1
strange people put thought can not handle throw back face weak weak,1
shame dr draw,1
love benand threaten violence,1
whoa threaten live tv allow,1
people hear truth remain make believe fantasy sad,1
straight lgbtqi worthy recognition seem like oppression,0
sad ben right,1
man ben v win,0
make believe world live,0
male male change fact donkey can not lion,1
make threat violence debate frustration lack fact argue much disgusting deserve respect demand,1
team ben one,0
american problem,1
pathetic scared bet huge percentage people deep do not agree want fit reject say come brave thing someone that s disrespect job people risk live other,1
do not anyone stand ben,1
bruce jenner olympic,1
ben right,0
call sir far less insulting say anywhere near equal,1
bruce jenner sick fuck one thousand common sense god prevail,1
trans gay thing brave,0
award compliment want wear girlpantie,0
ben shapiro say sir lose argument let we make thing,1
get blt bacon lettuce testosterone,1
fact care feeling,0
weird society live,1
ben courage actually smh world crazy,1
people certifiably nut,1
speak like real man bruce,0
be not lady like,0
ben even fan guy shut,0
course simp liberal black man black man smh,1
dsm politic diagnose transpeople zowie davy arch sex behav july show detail full text link cite abstract dsm change diagnosis transpeople age gender identity disorder gid gender dysphoria gd part well indicate distress transpeople may experience gender identity feel incongruent workgroup sexual gender identity disorder chair kenneth j zucker employ american psychiatric association apa update dsm gid diagnosis reflect contemporary scientific knowledge additionally prepublication report apa members workgroup suggest would also concern destigmatization transpeople preserve diagnosis medical insurance company would accept issuing payment transition treatment drescher aim article firstly question whether change diagnosis lessen stigmatization transpeople suggest semantic change gid gd mark invert gendered expression pathological thus continue stigmatize transpeople secondly article explore development gd diagnosis illustrate scientific datum found contentious article demonstrate trans antipathologization movement challenge perceive pathologize effect dsm classification gd article examine selection western transgender community advocate website forums blog source article explore different narrative transpeople political group offer detail praxis evidence trans antipathologization advocate use available science human right discourse contest role psychiatry treatment transpeople,1
would reply womanly thing say,0
ben stay calm stick fact,0
mainstreame delusion goodness,0
lil trigger masculinity come gush fake disguise,1
think ben kick nuts run get,1
lucky ben bad ass highly skilled fighter low kind wish size jon bone talk way skill bet would turn different,0
fuck man michael bolton get piss,1
pathetic delusional hateful liar benny can not help piss people offthis idiot must beat lot,1
ladylike amazing easily facade slip,0
trans people hostile,1
person want see man everything show still definitely man,0
guy wig,1
touch point important touch,0
lol wake bitch like shapiro say bible clear end times right see wrongand wrong see right,1
hear right want call threaten fight man seem odd,1
ben shapiro little bnearly pissed pant,1
call sir happy thati never see gay people go public woman bathroomhahahahahahahahah,0
people real pretend female putting dress emotional make transgender never understand,1
let get straight ben state fact rude guy threaten physically harm ben that s ok threaten hurt badly enough would need ambulance rest people room jump ben case insanity,1
dick man fg snowflake man can not fcuk live island fantasy world vegan think farm animal rescue life fall lap take coz sure parent worry problem real one worry call himjesus fing christ,1
fact fact,1
wow threaten rude female look man call woman hurt feel wise way threat someone national television people stupid enough tell difference man woman,1
man woman cloth mafia,1
man feel like woman,0
continue stand sharpio,1
ben go stick belief absolutely own debate,0
fun fact anything everything concrete go head always appreciate applauded tocompare substantial fact spit truth,0
gender identityso identitysomeday someone decide identity stone person take register maintain live world move stone breathing eat everything identifie stone well identify anime character get series please,0
ahaha honest feel like want see beat shit ben,0
stand god stand man stupid,1
little helium boi bennie shit hilarious,1
watch every month smile,0
listen people stage one logical shapiro guy head shoulder thing stage,0
satan already target target us pervert hate trans word like satan shoot convince man something god make man good satan make anything burn everything exorcism need fake news government new god gossip,1
sorry get go throw poor america whatever happen great nation,1
choice either vote keep america democracy vote america become fascist government choose can not,1
gobsmacked think ok ben physically threaten debate impressed way ben handle situation,0
act like man get treat like one day age want equality fck grab threaten get put ass,1
dude go call dudeno one planet go tell otherwise,1
funniest thing say go home ambulance,0
yuck,1
ya be not lady like dudeha haaa haaaa heck wrong guy,1
cut go ambulance first time ever hear female talk like,0
bust hell wide open,1
go show can not sit discussion without liberal threatening can not handle truth,1
bruce still man thing woman become man woman can not grow penis wtf,1
sad sample today society transgender thing ben answer god say make mistake make mistake folk god bless,1
freakin transmission problem,1
future hater truth,1
overly violent destructive left need call violence racism hatred perpetuate think former sport icon would threaten someone bodily harm verbal disagreement think alt right psychopath lose respect jerk sit next ben,1
brave threaten also man threaten someone infront everyone camera,1
bring man,1
think ben going say that s lady like,0
pretty sure toxic man would grab someone neck publicly threaten violence disagree,1
bear man man bear woman woman quite simple,1
be not dude gamestop video,1
pog fly helicopter overseas oh I m scared,1
one person functional brain group,0
conservative hive mind comment section,1
ben right repent god wrath come,0
thing put hand i d knock,1
make reply chain say ben support,0
vote ben day every day,0
go home ambulance actually consider felony state,1
leave see truth egregious,1
like bloke fairplay honesty ben,0
leave vs right end story,0
one comment zoey lose right act like badass lose dick,1
love ben shapiro,0
zoey aka joey grow pair real quick delusion poke hilarious people ask doctor reference basic biology person identify orange mentally unstable person identify opposite gender hero problem allow zoe pretend woman problem fact acceptance push school onto child wear dress want long kid know something unstable,1
jenner go home ambulanceshapiro ball,1
let get away genetic back brain scan man understand chromosome determine brain activity,0
