author,text,classification
@LuigiRBG,Caitlin show the real macho in him â€œif you donâ€™t such up Iâ€™ll bite you â€œðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,1.0
@neooutdamatrix,"if they only knew how Ben Shapiro felt about criticism of Israel, they could have shown his hypocrisy",0.0
@geertvandijk1738,Extreme lack of brain cells within that panel. Wow.,1.0
@DeedeesJourney,The thought of her picking Ben up and just body slamming him for triggering her is absolutely hysterical. Wouldve made the show ten times better ðŸ˜‚ðŸ˜‚ðŸ˜‚,0.0
@alycial4338,"Funny how when ""she"" gets mad the violent threats come out... its almost like the lipstick doesnt change anything at all and there is still a man with violent tendencies in that dress ðŸ˜….",1.0
@hjwmachinehead,"Ben is 100% right about this , its a He !!!",0.0
@travino,Bruce said he regrets trying to be a woman.,0.0
@Lala.H.R,This is weird...,0.0
@petersoesanto2892,Why people like to lie??  That a fcking dude use dress and pretend to be she.... ðŸ˜‚ðŸ˜‚ðŸ˜‚,1.0
@ILexe,You're agreeing with me because you're not educated.,0.0
@eugenioenunc,"As a physician and a scientist (M.D,PhD), I would like to make clear that 1) we do not employ the word â€œgenderâ€ in the natural sciences as this is a social concept. 2) Although you may have learned that XX is a woman and XY is a male, that is because biology like math is foundational, so many concepts are simplified in the primary and secondary educational settings. In the scientific community we have robust debates on terminology and arrive a consensus based on the current body of knowledge. The XX and XY concept of biological development is considered incorrect in scientific literature. In science, we first distinguish between people who are or are not capable of developing  primary (before puberty) and secondary (after puberty) sexual characteristics. This is because there are four genotypes that can give rise to a female with primary sexual characteristics (XX, XO, XXX, and XY (rare cases). Only two genotypes, however, give rise to both primary and secondary characteristics and fertility (XX, XXX). It is interesting to note that all fetuses will develop primary female characteristics unless the presence of one gene on the Y chromosome is present and functional. The scientific community first defined a female as anyone without a functional SRY gene, and male as any viable fetus with a functioning SRY. Whose genotypes may be (XY or XXY, OY is not viable). 
The point is that this is a complicated issue treated much differently in the natural sciences, so please refrain from invoking biology or science in anything related to the trans debate. These are purely social issues not scientific ones.",0.0
@lelandfranklin3487,Let's ignore the chromes for a minute....huh?,0.0
@karloakley1371,"The world is ending. Dingly dangly bits = male, moneybox = female ðŸ˜‚ discussion over",1.0
@WilliamPearson-s6v,The pathetic little Ben got just what he deserved he is uneducated he is ignorant he is a bigoted racist and he's going to screw around and find out little Ben is pathetic excuse for a man,1.0
@lordsupernewton8888,"Wow, when you know you've lost the argument because your speaking poppycock and you resort to violence.",1.0
@strawberryseason,"They must have deleted the word ""sir"" from the video. It's not audible.",0.0
@licksnkicks1166,Hey Mr. Pretend a transgender man. Let me ask you this. If a male canine feels the urge to be female canine should their pawrents mutilate their doggie bits?,1.0
@klowen2237,Shapiro is right. They are still men. We shouldn't have to play into their delusion.,0.0
@a67tejaskhandale99,Ben shapipoo hates trans people he just wants them all to die. Literally a fascist. How can a jee be a fascist ðŸ˜®,1.0
@Consplunkable,"What takes courage, actually, is to stand your ground in public against such hostility to common sense.",0.0
@TuckFEMU,Are these people fr?,0.0
@melindahoward6479,A MAN IS A MAN..... A WOMAN IS A WOMAN!!!! A MAN CAN'T BE A WOMAN AND A WOMAN CAN'T BE A MAN. GET OVER YOURSELF!!!!,1.0
@donaldeverett714,Luv Zoey! LOL,0.0
@murdomacleod2371,"Everyone has a right if their struggling , to be what they want  to be , BUT , a cock  in a frock is STILL a cockerel ðŸ”",1.0
@RossKempOnYourMum01,That trans is jacked,1.0
@ChrisShoats-k9d,"You kno in his head he was basically saying ""i might feel and dress like a girl, but im still a man and i will fuhk you up"" ðŸ˜‚ðŸ˜‚",1.0
@KINGSLEY-TV,ZOEY YOUR A MAN!!,0.0
@bobbobbington3615,"He reacts like a man, lol.",1.0
@bellamarley9455,Facts are insulting now.  This world is so twisted.,0.0
@adn1785,Why was nobody telling Zoey to remove her hand from Ben's shoulder? Simply putting your hand on another person's shoulder is a sign of dominance. And it's usually a male thing.,0.0
@johnduffant9694,"I would welcome the challenge, as it was a direct treat",0.0
@emberson7850,"This is not threat, its more like a flirt in their community. Ben has been in the closet. They both probably went home together after this.",1.0
@garyjones4001,Ben should have retaliated,1.0
@bethscott6323,Typical Leftist can't win a debate so they call names or threaten violence!!!!,0.0
@KASLEX,"Ben would go home in an Ambulance, cause that dude is a larger man than him! ðŸ˜‚",1.0
@jaumealcazo6386,Ben Shapiro rules.,0.0
@TheLastCrumb.,"If i have a carrot cake and i can see its a carrot cake, i saw it being created as a carrot cake...... but now if someone calls it a lemon cake I'm supposed to go along with it?  Fuck your lemon cake",0.0
@dikluegert6658,I couldnâ€™t stand Mike after this segment. Defends huge dude in dress getting physical with tiny Ben Shapiro,1.0
@Seetesh-h4x,Ben will be a better girl for this man ðŸ˜‚,1.0
@kodymayersdorf4335,"I think it's funny when Ben thought he could say whatever he wanted and the lady man punked him ðŸ˜‚ðŸ˜‚

I'm conservative, but Shapiro is a lil bitch",1.0
@itsjodi9939,So delusional,0.0
@johnoa1146,"Jenner is a bully!
With male anger!",1.0
@jadepetri2726,All those hosts were ganging up on Ben....that zoe is a violent man in a dress.,1.0
@calocoy6434,Didn't know Michael Bolton came out,0.0
@Buttsac,Trans is so gaslighting this is what they want lol,1.0
@selocan469,"That creature literally made treat to Ben about sending him to hospital, and nobody did go against it. They were like OK OK, let's be more polite please. Bunch of bigots",1.0
@josephparziale2299,Man now all these years later and what happend to Candace Owens for her prophesying her love of Jesus and Israel killing Palestinian people non stop I wish this person did kick little ratty Shapiros ass,1.0
@scott21889,The moment he put his hands on my neck like that and threatened me would of been the day he turned into a woman.,1.0
@maddydog1234,That is the definition of a bully.,1.0
@ConsistentCed,I cant believe how insane ppl are these days. Im 40. NEVER .....EVEEEERRRR thought this would be a convo,1.0
@hurricanewinzz,On behalf of all Men if Shapiro was to end up in hospital we will declare this day a National Holiday ......,0.0
@lordandragor8448,Bro was malding.,1.0
@MrsAMFB,Did he manhandle Shapiro? Where is that guy now?,0.0
@jasonsteel2521,"Itâ€™s a fucking debate. Jesus christ. 

Disagree fine. But once you THREATEN someone itâ€™s all over.",0.0
@ph-sos3493,Oh Lord!...Please forgive the G@yLords! ðŸ˜“,1.0
@duramaxman8242,Zoey reminds me of Quagmire's dad on Family Guy.,1.0
@rickstarman6720,That whole room full of people except for Ben are so afraid of what people might think of them depending on what they said is sickening,1.0
@petermprisco,"thatâ€™s a fucking man, ofc they all team up on ben thatâ€™s crazy",1.0
@danielnebrazcar5619,You cut that out or you'll go home in an ambulance ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…,0.0
@YourDad-h8u,"Oh the irony both ""men"" have acting like ""women"" for a living 
Bens a c uck",1.0
@steviewonder417,Chris Beck has detransitioned and is now living as a man again lol and he hates everyone who ever supported his delusion,1.0
@laurenh906,"If someone said that they were a cat, would you support their lie?",1.0
@carmenavila3829,"How come  everyone got quiet and didn't advocate for the person who's been threatened , the hypocrisy!!!",0.0
@MrBubble78,Yiu are a sir,0.0
@gezag.hanniker1940,Sorry trans women are not women..,1.0
@aswinkailas4180,Only benshapiro is a man there others are dickless fuckers...ðŸ˜‚,1.0
@EzraHagger,"Guys are guys ,and girlz are girls  are we really argueing about this in society   im calling it what it is",1.0
@TheSteelStallion,I didn't expect the latest season of Reacher to take this turn.,0.0
@MiksteR_RdY,Oh. My. God. This brain issue started EIGHT YEARS AGO in the US? Holy hell. You're all lost.,1.0
@tawamajik6982,How this dude didn't get charged I don't know,0.0
@tawamajik6982,This was when it all started going pear shaped,0.0
@BrandonSutton-ub5cf,"This is so crazy. So insane this is even a fn debate. This world is burning folks, and 99 out of 100 dont see societys flames getting rampant.",0.0
@rjay2012,that man is courageous ahha,0.0
@Mauriora07,"Caitlyns come back. ""Stop that or you  will go home in  an ambulance"" What a tough guy",0.0
@martinpiche818,A violence hand squezing  the neck and direct  threats of beating him... should have sued this guy.,0.0
@Consplunkable,One of the kindest things you can do for Caitlyn is tell him the truth; he is not going to heal any other way!,1.0
@bca-biciclindcuaxel7527,Ben should have said '' This threat sounds way too manly for a ''woman '' :))),1.0
@bca-biciclindcuaxel7527,That ''lady '' looks like a WWE character lmao,1.0
@kaylanschlosser3694,"I always found it funny how everyone stepped in when ben used apparently incorrect pro nouns, but no one said anything when he was threatened with physical violence.",0.0
@mindedchaos,reminds me of robin williams in mrs doubtfire lmao,0.0
@jacoblandry9377,Where can i find the full debate cause that was hilarious,1.0
@mikeflo6459,The black dude is a straight biâ€”h. A grown man putting on a dress thinking heâ€™s a woman. How lost is this society,1.0
@jucebrown,It's a Men why y'all try so hard,0.0
@meganabaja,"If they do not like it they try to mute it.
Ben was right and they could not prove him wrong so they try to mute him by falsely causing him of bein rude and or offensive when it did not work they try intimidation.
They where not there to have a conversation and discussion with Ben.",0.0
@hawaiian_judge5113,"I love how, ""she"", immediately resorted back to a physical threat of violence... You know.. a male trait..",1.0
@janrobinson5692,Caitlan threatens like a tetesterone driven angry  male.  No woman would threaten like this!,1.0
@brianm1902,"Funny she, he, responded just like a man.  ðŸ˜‚  What if there was no speech, written, or spoken, no pronouns, none of this stuff Would be relevant.  Wait does not matter all still irrelevant.",1.0
@marlonpadilla7372,"el hombre es hombre, produce esperma
la mujer es mujer, produce ovulo
no hay mas genero",1.0
@Niki-ln5be,Everybody here except Ben ended up looking like total douche bags,1.0
@Roshea,Ben Shapiro's only solid moment.,0.0
@litterbox2010,Damn. 8 years ago and Shapiro is still an uneducated dumbass.,1.0
@carlabalash7813,These trans people and their enablers are living in a unicorn fantasy world.,1.0
@speeddemon9555,"a she is a she, a he is a he, and never the twain shall meet.",0.0
@adityajathanna2116,W ben,0.0
@willyhwang1059,"the chromosomes in me tell me I am not 6 feet 5 inches tall
as much as I feel I am.",0.0
@owen3520,This is the moment she proved that he has a pair of balls,1.0
@michaelandersonsa,"@lilholmes  please note: this person has never ""grabed"" anyone.  This persona can also NOT spell",1.0
@michaelandersonsa,horribly difficult? or horribly ignorant dumb and inexplicably stupid?,1.0
@wayneharper2168,Go home in an ambulance? Some dirty transvestite threatens somebody on national television and the chicken littles do nothing? Not even admonished? What a sick world we live in.,1.0
@michaelcrispell2319,"An ambulance takes you to the hospital, not your home. Maybe his stupidity is why he doesn't understand he's a man.",1.0
@bluetiger5852,Common sense is the 1% in today's times,0.0
@KaiserSoza-lw9nx,this former navy seal finally realized a quack phycologist convinced him he was trans... now he is back to being a man.,1.0
@kipster67,That is exactly what the lefties do....violence no discussion,1.0
@stevedenis8292,All the years that trope that transgenders are passive and mostly  non violent. Time to rethink all that.,0.0
@lurkingreplyguy,Too much and too little to unpack here,0.0
@darussianping61,Ben was the only one there with right state of mind.,0.0
@masterpenguin9468,The comments!,0.0
@Flickerwink,"0:40
 his face lol",0.0
@mothernature5828,Shame on everyone going along with this delusion,0.0
@mothernature5828,"Dude, dont you threaten Ben like that",0.0
@ambassadorofpeboiv5366,She was so based for grabbing Ben by the scruff of his neck and scolding him like a puppy,
@r_l_o6324,He is a man and always will be. I have no problem with gay but Iâ€™m not playing pretend games.,0.0
@Tony-og3vj,Ben is alpha. Everyone else is beta.,0.0
@shandawg6335,"Whata fkn mess, Bens the only sane one on whatever show this is",0.0
@tommybrown9534,PC Principal would refer to Jenner as a brave woman ðŸ¤·â€â™‚ï¸,0.0
@thegirlfromru,What is that thing?,0.0
@baldfox2355,Only a man can send another man home on an ambulance,1.0
@dylatron4533,"Ben should get a courage award.
I would be terrified sitting in a room with six crazy people and debating with them.",1.0
@ianrobinson6788,Autogynephiliaâ€¦â€¦.?,1.0
@tuckerbugeater,the moment Ben's noahide sycophants dropped the soap,1.0
@DCXCoorexDakarCoore,I'd tell him to get his hands off me . And don't touch me,0.0
@DCXCoorexDakarCoore,Facts don't care about your feelings,0.0
@DCXCoorexDakarCoore,He's a man not women,1.0
@DCXCoorexDakarCoore,You're a man not women,1.0
@jacobmetz3267,"Ben should've said, ""Nice threat. If you don't get your hand off of me, you'll draw back a stump!""",0.0
@Shinrikyo230,Bunch of IDIOTS!! SO GEHH,1.0
@soniasmith3594,Zoey your a bully,1.0
@devanworkman8745,Always remember liberalism is a mental disorder.,1.0
@2lazy2bee,Man Ben was the only non AI,1.0
@MajorityIsIrrelevant,Itâ€™s is a MAN finished the end.   You canâ€™t change your genetics people       Go BENâ¤,0.0
@pascarirobert8224,Clown world what a crazy world man wtf,1.0
@MissMiliaCantik,"We are not woman, we just feel like a woman and interested man.",0.0
@generic53,"Well, I USED to like Dr. Drew but even HE called BRUCE JENNER, ""she.""  Afraid of being cancelled so he sold his soul to the Left.",1.0
@generic53,"Yeah, that ""tough guy"" wouldn't have said SH*T if Stone Cold Steve Austin, for instance had said that.  Or Connor McGregor.  Only gets ""tough"" to 5' 5"" or whatever Ben Shapiro.  COWARD.",1.0
@j.brandon7402,She just told Ben he didn't know what he was talking about which was rude.  He responded in kind.,0.0
@odraudeeeeee,"Damn, is this your ""Great America"" ?",1.0
@JunjundeGuzman-cl9xm,This guy just proved he should be called sir. Hilarious.,1.0
@bryank53,Read Dueteronomy 22:5. Its called in The Holy Bible Detestable and is Sin.  Repent or Perish in The Lake of Fire Forever,0.0
@humanwarnings1,"I'm on both sides and against both sides of this. Shapiro talks too fast, like a chipmunk on speed. Don't trust anyone who talks that fast. Aside from him not having the balls to Stand up to a buffoon like Trump. So I like seeing him get threatened.

The whole gender identity thing is fishy to me. I think a lot about the whole drag queen story hour, where a drag queen goes into a kindergarten to read fairy tales to children. Firstly, How can they tell ""Jack and Jill, when up the hill?"" Was jack a girl? Was Jill a man? Then you take the drag queen out of it, and imagine a grown man wants to spend his spare time, going to kindergartens. I would say that dude's a pedophile. I would take my kid out of that school.",0.0
@TheAbsintheS,"""Facts don't care about your feelings"" ... Who would have thought that eight years later, this would have been a #1 rap hit ?",0.0
@Alt_Aly,Little hat,0.0
@amberdenise5954,theyâ€™re so scared of these people lol,0.0
@joshlock4627,"Ambulances donâ€™t take you home,",0.0
@hippowafflesify,Hahahahaha Ben is an alien,1.0
@user-bd1du3cy9c,"Who cares what he she is?? Who CARES? EHATEVER. why it deserves a prize?????

She reacts in a very manly manner and her body language is very manly as well",1.0
@SultanSully97,I thought ambulances take you to hospital not to your home!!!,0.0
@robertnash100,"So ben states facts and is threatened, and everyone sticks up for Zoe. This is the problem people endorsing the issue and walking on eggshells so as to not upset the minority.",0.0
@VelijiaDzaferic,And Now The Man Comes Out Of A Transwomen. Funny That. This Is Perfect xample Zoe The Real Man.,0.0
@jimfrancisabadingo6216,Ok American are idiot,1.0
@whatnonsense2447,Testestrone still in there,1.0
@gigantorize,"Ben should have randomly picked out of his drawer full of attorney's names one or two of them and sue the pants (er, the dress) off of Ms. Jennings.",1.0
@leifdux7277,wtf does everything have to be deemed insulting lol,0.0
@kbdank71,I noticed Ben didn't do it again.,0.0
@salomond8897,Disgusting ........ specimen of humanity.,1.0
@WillemNel-u8n,She threaten him. Lay her hands on him and nothing. If their  roles was reverse he would be in jail.,0.0
@peterjames174,I feel like vomiting at that thought.,0.0
@mikeyoung2099,I'm from the hood and I wish that transgender freak would have tried to hurt me I would have taken him with me.,1.0
@glenmwaniki4875,channel not availableðŸ˜‚ðŸ˜‚I definitly wanted this whole debate,0.0
@God_in_wat_i_do,He is very angry. He holds ben shapiroâ€™s neck. He is one masculine transgender with testosterone. See his shoulder and jaws.,0.0
@brettdavis1853,Don't watch,0.0
@sensangel,how do you insult someone with the truth ðŸ˜‚,0.0
@doompenguin1120,Adolf threatened the reporters and lawyers who didnâ€™t agree with himâ€¦not seeing a whole lot of difference here especially considering that Ben Shapiro is Jewish,1.0
@Im.a.Potato09,2:07 A FULL ON THREAT TO HIM! And nobody said anything to his threat toward that man. Disgusting and disrespectful.,0.0
@hudak55,Is this real? Or they are just acting,0.0
@JeferyDavis,This country has gone to shit,0.0
@zacpotter4279,Ahah cut that out now or you will go home in an ambulance. How about take your massive fucking man hands of me before I report you for threatening me live you braindead monstrosity.,1.0
@wiseyoutube2078,"If you need an example of strong and weak male role models, look at the altercation between these two.",0.0
@DavidAllen-dj7sd,Hey Zoey! Is your real name Joey? You are delusional and that qualifies you to be part of Joe Biden's white house team.,1.0
@azariazr12,Dam(CAVEDWELLERS)ðŸ”¥ðŸ—¡ðŸ©¸ðŸ™ðŸ¿APTTMH,1.0
@karthikt360,"No 1 is born ---. It is how they brought up or or their childhood life.
* Candace Owens says incidents make gays, so can be cured or should not be encouraged/accept gays.
* Even the straight boy - doesn't know he is straight at age 0 or 1 or 2, etc... Through his life journey with incidents: he likes to have a girl friend, so he becomes a straight.
* Same a gay boy - doesn't know he is gay at age 0 or 1 or 2, etc... Through his life journey with incidents: he likes to have a boy friend, so he becomes a gay.
* OR if the incidents from both parts above, then a bi.
* Incidents example: straight (he gets attracted to a girl, not getting molested by a male, or even if gotten molested he didn't liked it and didn't want to pursue it), gay (he gets attracted to a girl, he gets molested by a male, and he likes it, then/before he gets attracted to a male, or very simply - at starting itself getting attracted to a male w/o any molestation - the so called current 'born gay')
* So incidents happen to even straight people.
* So chances are there that no incidents happened to gay people - born gay. as simply falling attracted to a boy (w/o any molestation or daddy issues) is also an incident, we can say 'i knew i am gay', instead of saying born gay.
* it is all at the end, what you wanna be, and America gives freedom to be who you wanna be (see: being gay is not a choice; freedom here reflects: coming out of closet & expressing oneself), so I am proudly expressing me, through my community LGBTQ+ and through rainbow flags at my home and streets. still there are people who can't come out of closet and live inside them peacefully.
* Ben Shapiro mainly identifies gays as polygamous and can't bear children and can't sustain in long relationships.
* There are straight people as well, who are polygamous and can't impregnate and get divorces so can't sustain long relationships.
* I brought up in a society where 1 life partner for entire life is the way of life. For me even monogamous is atrocious, but what to do if got divorced/widowed, instead of living single, it is good to have second partner. 
* Not all gays are like fuck each other around, like the straight fuckboys out there.
There are gay people who are monogamous, adopt/surrogate children, sustain long relationships - as well.
* I am a gay boy. Whether I am into this through incidents or just like that - is none of your business.",0.0
@ema9275,"""Facts don't care about your feelings "".ðŸ˜‚",0.0
@realinohio,I don't remember  in grade school in the 60's any boy wanting to wear a dress.,0.0
@d.b.4201,Shame on Drew for not calling that threat of violence out immediately!!! ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡,0.0
@boredatwork321,That vile creature put their hand on benâ€™s neck without his permission and made a vague and ominous threat. He couldâ€™ve sued for assault and threats.,0.0
@cgnypcsny,"Ben Shapiro was talking facts, and Bruce was threathening violence. I lost all respect for Bruce and the trans community",0.0
@quickvue5036,Ben is the only sane person in that debate....idiots vs sane person...,0.0
@quickvue5036,She or it couldn't put her or his hands on me...,1.0
@alvaronunez8707,That manly lady wasnâ€™t very ladylike,1.0
@ginakirkland386,he's not being rude.  He's being FACTUAL.  Freaks,0.0
@rmaldonado4031,Enough sugar to go around in this tread,0.0
@SyntheticStuntMan,a MAN who plays dress up and call HIMSELF zoe...LOL...I wish ben had of clocked HIM one.,1.0
@chrismckinney2952,"To the transvestite in the dress.. Yesterday went to the hospital and went to use the gentlemen's restroom, when a young man came up and said excuse me madam this is the mens  restroom..
 I'm 175 cm tall slim sort of build long hair done in a man-bun, being in my late sixties with a moustache and unshaven I turned around and said thank's.. We both had a good laugh went on with our lives.. All the way home I had a dam good laugh. Need to think about a haircut???",1.0
@andressepulveda2760,The black guy is has no spine,1.0
@lifereviews74,Only Ben Shapiro has the balls to confront a fake identify..the rest will sleep bothered for tolerating a lie.,0.0
@jadepetri2726,Shame on Drew...what a horrible person,0.0
@jackdaniels5489,Ben between soo many idiots. Bigots im he's place I would kick their assess because they don't know how much is 2 plus 2....And I don't wanna talk about biology....,1.0
@EliAlexanderClark,Bob Tur is an abusive husband and father.  His pronouns are moot.,1.0
@shaunchamberlain6714,"Worlds gone mad, even the comments show it, we all agree with Ben, donâ€™t get me wrong comes across like he hates them but heâ€™s speaking facts.",0.0
@azaz3580,The balls on zoey to threaten another man on live TV. Wow,0.0
@ozanox6700,Hot â¤ï¸ðŸ˜¹,0.0
@angiesuarez773,"That's so brave.. threatening another man while wearing a dress, lol.. ðŸ¤·ðŸ˜†",1.0
@dgcko9082,Well that was very manly ðŸ˜‚ðŸ˜‚,1.0
@melonenkopf2790,Them excusing the threat of violence is absurd.,0.0
@baronghede2365,"They call straight men homophobic for not willingly to date a transgender women but i support the LGBTQ community and don't date transgender women, Blessed Be.",0.0
@johnconnor7210,If that bloke in a dress called me out with threats I'd take him up on it in a second.,1.0
@naajee90,"Usually Ben isn't the brightest, but .....",0.0
@passweeni5128,Ben Shapiro is the definition of brave.  Offending a man many times bigger than him for the benefit of spreading truth.,0.0
@ziyuelu7442,lol Ben is a hero:),0.0
@eliasgergi6484,1:05 beta,0.0
@paulstrollo3187,he responded like a man Go figure!!!,1.0
@Thecarman1994,Its a bloke in a frock.,1.0
@thejoeyd9207,The guy wearing a kippah to symbolize his submission to his imaginary sky wizard thinks itâ€™s wrong to mainstream delusion and that facts donâ€™t care about your feelings lol,1.0
@LongDrive-ze9jw,Panel not being polite to the facts.,0.0
@warkiran9522,Not so ladylike ðŸ˜‚ more man like,1.0
@MikeCann04,Imagine Ben said that to Bruce. Heâ€™d be thrown out. Load of Shit,1.0
@yunick1408,the black guy will jump off a building if you tell him do soâ€¦,1.0
@mpquestionbeat6849,"Benny got what he gives and what a surprise....
 He didn't like it.
I hope next time they actually take him in an ambulance.
 Little shit talking about things he doesn't understand just to pass an agenda that is literally destroying countries like Argentina.",1.0
@utterlyexiged,'Zoe's' hands are like fucking shovels by the way,1.0
@TheNatkingcole68,ðŸ’¯ agree with Ben. Facts.,0.0
@iichokewesaram777,truly only ben is the only men thereðŸ’¯,0.0
@kalistothenes,I want to be called a god second coming messiah,1.0
@RiverAnglin,They didnâ€™t wanna go to the genetic debate huh sickening I wish I was there to defend Ben against these psychos,1.0
@Shotgundan,â€œWhat are your genetics sirâ€ ðŸ˜‚ðŸ˜‚,1.0
@Moose745,"That ""lady"" sure reverted back to his former self, rather quickly",1.0
@alceratops6853,"This man seriously touches and then threatens Ben with violence?!
Well, ""she"" is transgender. They can do whatever they want without any jail time, I guess",0.0
@DM-0072,For a moment there i actually thought it was Michael Bolton.....,0.0
@garettmatheis933,Should have had him arrested for assault.,1.0
@michaelcruse5372,Sit me next to that guy,0.0
@bobbysreaction,"Dont trust BLACK guys, Period. No woman grabs nect like that???",1.0
@jessieortiz4432,Lol this was 8 years ago .. i bet they think different now,0.0
@Thai.Farang,"Yet if he said that to that thing then he's transphobic. As always, they want it all their own way.",0.0
@jliu2003,â€œZoeyâ€ is an abomination.,1.0
@lebayati2059,They show their true identity when they are angry or feel threatened,0.0
@jonajeremy,That black dude tryna get brownie points is hilarious,0.0
@dickieknutz2933,"These fops are equating ""rude"" truth-telling with assault and battery.  CNN is back baby!",1.0
@dickieknutz2933,Lol. PoLiTe To ThE pRoNoUnS,0.0
@Simon-nv5zj,words apparently hurt more than threats of physical violence. gotta love the lefties.,0.0
@Storm8704,"Get it, ben! Shut this nonsense down!",1.0
@AdelGarvin,Someone telling you that you are gonna leave in an ambulance by a transgender  on mainstream ðŸ˜‚ Im riding with ben on this one for sure . A male is and wil always be a male,0.0
@Dingle.Donger,Bro look at that dude with a GigaChad jawline and huge broad shoulders full of TESTOSTORONE threatening someone else with physical violence. Typical male behavior lmao.,1.0
@vincemvagusta68,I wish Ben called his bluff.,0.0
@redblade8160,"This is a case of ""Dr. Jekyll and Miss Hyde, and the 'ambulance threat' was coming from Dr. Jekyll as the body and mind was reversing back.",0.0
@PlansG50,Black guy lol just say what ever keeps you with the popular opinion.,0.0
@lmankj,"Itâ€™s not ok to insult a person with biological, anatomical facts, it is ok to insult a person by threatening to send them away in an ambulanceâ€¦?",0.0
@razoblicavanje4231,"Men in female clothes have gone too far. He is ""liberar"", but if Shapiro continues... 

 If he put his hand on me like that, he would see the stars right there.
 By the way, that black guy is a spineless worm.",1.0
@DY2784,HE... ðŸ¤ªðŸ¤ªðŸ¤ª,0.0
@acptelford1307,How does this ever get air time?,0.0
@ChadHansen-h8k,"the best line of this that for some reason is never shown is the part right near the beggining where ben says ""for what?""",0.0
@micahartisansoul,So now we supposed to respect pronouns not out of respect but fear?,0.0
@lucavelli9723,He is upset Ben called him sir ðŸ˜‚ðŸ˜‚ðŸ˜‚,0.0
@23v0lv32,That man fell right into Benâ€™s trap! HE even escalated the situation with the threat of violence! Heâ€™s a stand up guy willing to fight for what he believes in! What a man!,0.0
@YuriBoyka23237,The entire Tur family is trash.,1.0
@joeyb7116,Going to the military to fight for our country is now not the bravest thing u can do its coming out the closet absolutely sickening...,1.0
@p-cam1584,she ate,0.0
@ABN-wi5nk,"Well, now he's back to acting like a man.  He saw what he was doing was a lie and he got some help.  Chris is one messed up dude.",1.0
@funkdoubt1,"â€œTrue colors, thatâ€™s why I love you..â€ ðŸ˜†ðŸ˜†ðŸ§",0.0
@D87943,Itâ€™s a man not a woman.,1.0
@jovanapleskonjic5726,"Grown people talkin what is man and what is a woman???? In 21st centry i mean come on...And all that is just a plan so they qeep us out of whats important in this war of good and evil.This guy with blonde hair is demonic.
Fight back America!",1.0
@JeffreyBell-wi9cc,Amen Ben sounded like the guest had a testosterone moment,1.0
@dennisneikes7215,Could you imagine being a guy and getting whooped by a guy girl? The most humiliating act in history.,1.0
@twelvecatsinatrenchcoat,I would've lost my s!@#.  That absolutely would've been go time for me.  I would've been standing up.,1.0
@KamauSamuel-ce8du,Truth !!! Shut up ...... yes lies you were saying....,1.0
@rosemiranda7300,"Zoey can dress up as a woman but acts like a typical male bully! And bravery for wearing a dress??? Fire fighters, soldiers, nurses, first responders, they are brave.",1.0
@FR-ty5vn,That lady ready to beat some ass ðŸ˜‚,1.0
@asandan,"Excuse me Zoey, thatâ€™s not like ðŸ«¢ðŸ˜‚ðŸ¤£ðŸ˜‚ðŸ¤£ðŸ˜‚ðŸ¤£",0.0
@LouiePaulls,sigma and based!!!!! redpilled,0.0
@mdnahidbutalrafi8775,W lgtv,0.0
@billz9303,Bruce jenner is very brave.its really takes balls to have them cut off.damn .,1.0
@mrsensei3614,I will call him sir see what his going do ðŸ™„ðŸ™„,1.0
@Nick_Negron,"The worst part about this video is knowing that Zoey probably scratched her balls right before this interview, and then grabbed Benâ€™s neck",1.0
@ReeseChown,Tur could be an alien from Mars and Ben still got punked.,1.0
@thebigdog2897,Cant fix stupid shapiros right,1.0
@kaneidareyue7715,No female would put their arms around a male and threating to end his life on national tv. That's definitely a man.,1.0
@dennisfleming7772,Brave  ? Liar and a cheater his whole life.,1.0
@mu9284,The black guy is busy saving his face. Ben is speaking facts.,1.0
@UtterlyClueless1,"So why do I have to accept that misgendering is aggregiously insulting when telling me that doing so is insulting TO ME because it goes against everything I understand in the world as well as cold hard facts???? 

Attention. Seeking. Sluts.

Or maybe whores, probably get paid for it.",1.0
@ishmaelfrancois,STOP entertaining foolishness.,0.0
@chriss4365,If i put a chevy sticker on my ford can everyone call it a chevy because it wants to become a chevy.,0.0
@balalunga1,That black guy just wanted to make sure he still can visit his liberal friends in california after this show.,1.0
@hervev.1841,You can disagree with trans activism but you must stay polite and respectfull. This little boy is an ass.,1.0
@Mr.Doss91,"I love this guy, he says how it is and is not sorry.
And don't you love how  disfunctional people instantly turn to threats once they've been called out on their BSðŸ˜ And I'm calling some serious favoritism. Because I like how the host got all b*****
Because of supposed disrespectful words were used, Towards the freak. but that He/She can sit there and physically threaten harm on people.ðŸ¤”ðŸ¤”ðŸ¤” And that's absolutely okay?.  Again, that's acceptable for a political debate.
Seems to have the lashing out irrationally and reacting on  emotion part down right? Definitely some bitch in there.ðŸ˜‚",1.0
